Shots,Single Source Accuracy,Multi Source Accuracy
1,0.4628787878787879,0.5356060606060606
2,0.5393939393939394,0.615909090909091
3,0.5522727272727272,0.681060606060606
4,0.5234848484848484,0.7234848484848485
5,0.556060606060606,0.753030303030303
6,0.5583333333333333,0.7522727272727273
