A,C,P,B,L,R,LA
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150.6,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150.6,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150.6,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150.6,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150.6,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150.6,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150.6,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150.6,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150.6,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,78,18.6584,150,1,2
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
